"","Date","S&P500","OLS","Elastic Net","Random Forest"
"1998.1","1998","14.32","21.2242478391274","21.2242478391274","22.3917357858817"
"1999.1","1999","18.74","19.1106647108384","19.1106647108384","20.2717891046448"
"2000.1","2000","19.4","25.3273134054628","25.3273134054628","27.2927843014717"
"2001.1","2001","18.43","26.3289027306639","26.3289027306639","30.39887326938"
"2002.1","2002","17.32","27.0235046397816","27.0235046397816","27.2267836758822"
"2003.1","2003","16.63","22.892727081761","22.892727081761","34.6725728037525"
"2004.1","2004","17.72","23.1708342145596","23.1708342145596","20.3423216193021"
"2005.1","2005","17.37","23.2126158866833","23.2126158866833","22.0790704472631"
"2006.1","2006","19.28","22.7657643307346","22.7657643307346","19.7872901400901"
"2007.1","2007","20.86","22.9336282631858","22.9336282631858","21.3344868944926"
"2008.1","2008","22.26","24.0512411361037","24.0512411361037","24.9634237039458"
"2009.1","2009","21.79","22.3687577250584","22.3687577250584","23.8213047829992"
"2010.1","2010","21.88","22.2835499679373","22.2835499679373","31.3134803624106"
"2011.1","2011","19.76","22.8793940770783","22.8793940770783","20.9037313883089"
"2012.1","2012","17.3","22.5094861168855","22.5094861168855","19.680917817225"
"2013.1","2013","17.56","21.9594729272079","21.9594729272079","28.5549998663904"
"2014.1","2014","19.48","21.7780721941606","21.7780721941606","18.7798282249872"
"2015.1","2015","18.88","22.6208206119872","22.6208206119872","20.6162654141264"
"2016.1","2016","19.09","22.2819746727671","22.2819746727671","19.509059501428"
"2017.1","2017","19.06","21.9857857936398","21.9857857936398","19.0278981366719"
"2018.1","2018","22.39","22.5620300199593","22.5620300199593","20.0925501845945"
"2019.1","2019","11.44","21.693468953685","21.693468953685","32.1308046844367"
"2020.1","2020","0.3","21.2616655378261","21.2616655378261","19.0732520569851"
"2021.1","2021","0.05","20.0101482645765","20.0101482645765","20.4282909855027"
