"","Date","S&P500","OLS","Elastic Net","Random Forest"
"","1997","1","1","1","1"
"1998.1","1998","15.32","15.32","15.32","15.32"
"1999.1","1999","302.4168","302.4168","302.4168","302.4168"
"2000.1","2000","6169.30272","6169.30272","6169.30272","6169.30272"
"2001.1","2001","119869.5518496","119869.5518496","119869.5518496","119869.5518496"
"2002.1","2002","2196010.18988467","2196010.18988467","2196010.18988467","2196010.18988467"
"2003.1","2003","38715659.6476668","38715659.6476668","38715659.6476668","38715659.6476668"
"2004.1","2004","724757148.604322","724757148.604322","724757148.604322","724757148.604322"
"2005.1","2005","13313788819.8614","13313788819.8614","13313788819.8614","13313788819.8614"
"2006.1","2006","270003637266.789","270003637266.789","270003637266.789","270003637266.789"
"2007.1","2007","5902279510652.01","5902279510652.01","5902279510652.01","5902279510652.01"
"2008.1","2008","137287021417766","137287021417766","137287021417766","137287021417766"
"2009.1","2009","3128771218110880","3128771218110880","3128771218110880","3128771218110880"
"2010.1","2010","71586285470376936","71586285470376936","71586285470376936","71586285470376936"
"2011.1","2011","1486131286365025280","1486131286365025280","1486131286365025280","1486131286365025280"
"2012.1","2012","2.719620254048e+19","2.719620254048e+19","2.719620254048e+19","2.719620254048e+19"
"2013.1","2013","5.04761519151308e+20","5.04761519151308e+20","5.04761519151308e+20","5.04761519151308e+20"
"2014.1","2014","1.03375159122188e+22","1.03375159122188e+22","1.03375159122188e+22","1.03375159122188e+22"
"2015.1","2015","2.0550981633491e+23","2.0550981633491e+23","2.0550981633491e+23","2.0550981633491e+23"
"2016.1","2016","4.12869221016833e+24","4.12869221016833e+24","4.12869221016833e+24","4.12869221016833e+24"
"2017.1","2017","8.28215657359767e+25","8.28215657359767e+25","8.28215657359767e+25","8.28215657359767e+25"
"2018.1","2018","1.9371964225645e+27","1.9371964225645e+27","1.9371964225645e+27","1.9371964225645e+27"
"2019.1","2019","2.40987234967023e+28","2.40987234967023e+28","2.40987234967023e+28","2.40987234967023e+28"
"2020.1","2020","3.1328340545713e+28","3.1328340545713e+28","3.1328340545713e+28","3.1328340545713e+28"
"2021.1","2021","3.28947575729987e+28","3.28947575729987e+28","3.28947575729987e+28","3.28947575729987e+28"
