Date	Model	Nasdaq
1965	-1.88947	1745
1966	-25.4789	1985
1967	19.01053	3754
1968	-0.88947	2034
1969	-21.1789	1234
1970	-29.1684	3832
1971	2.710526	1254
1972	9.721053	1985
1973	-26.6895	2123
1974	-64.9789	2874
1975	25.31053	2132
1976	37.02105	3642
1977	-19.2895	5825
1978	-24.7789	2515
1979	6.310526	1524
1980	26.72105	1853
1981	-16.8895	1873
1982	9.510526	1087
1983	20.02105	2095
1984	-5.78947	3281
1985	19.71053	3929
1986	26.42105	1029
1987	-6.78947	2938
1988	4.710526	2839
1989	24.52105	3921
1990	-14.9895	1283
1991	18.61053	4393
1992	-4.28947	1922
1993	-6.07895	1843
1994	-16.6684	1932
1995	25.71053	1723
1996	36.82105	1543
1997	58.33158	1532
1998	75.04211	1432
1999	84.15263	1874
2000	-20.9895	1940
2001	-44.7789	1843
2002	-78.7684	1732
2003	16.81053	1663
2004	-0.98947	1772
2005	-7.97895	1737
2006	3.910526	1928
2007	-6.38947	2086
2008	-55.2789	2226
2009	14.61053	2179
2010	17.82105	2188
2011	-9.78947	1976
2012	4.110526	1730
2013	24.62105	1756
2014	26.43158	1948
2015	-10.4895	1888
2016	0.110526	1909
2017	10.02105	1906
2018	-16.2895	2239
2019	19.61053	1144
2020	26.12105	30
2021	42.93158	5
